movie_id,title,genres,release_year,rating,popularity
634649,Spider-Man: No Way Home,"[28, 12, 878]",2021,8.0,274.537
1287717,Do Not Enter,[27],2024,7.4,272.385
359410,Road House,"[28, 53]",2024,6.979,269.554
1391524,Christmas Is Cancelled,[35],2024,7.0,266.034
1144962,Transmorphers: Mech Beasts,"[28, 878]",2023,5.5,265.58
726139,Project Silence,"[28, 53, 27, 878]",2024,7.048,260.523
1149913,TOGEFILM - Mei Mei,"[18, 10749]",2023,10.0,257.346
1142518,Freedom,"[28, 10749, 18]",2024,6.6,256.528
592695,Pleasure,[18],2021,6.223,256.224
799583,The Ministry of Ungentlemanly Warfare,"[28, 35, 10752]",2024,7.1,249.835
974576,Conclave,"[53, 18]",2024,6.99,248.687
1159311,My Hero Academia: You're Next,"[16, 28, 12, 878]",2024,6.8,247.771
748783,The Garfield Movie,"[16, 35, 10751, 12, 28]",2024,7.1,247.611
568124,Encanto,"[16, 35, 10751, 14]",2021,7.6,246.406
98,Gladiator,"[28, 18, 12]",2000,8.216,244.873
823464,Godzilla x Kong: The New Empire,"[28, 12, 878]",2024,7.1,244.63
348,Alien,"[27, 878]",1979,8.159,241.892
18785,The Hangover,[35],2009,7.3,239.135
157336,Interstellar,"[12, 18, 878]",2014,8.4,238.105
385687,Fast X,"[28, 80, 53]",2023,7.1,237.897
693134,Dune: Part Two,"[878, 12]",2024,8.1,236.638
346698,Barbie,"[35, 12]",2023,7.0,236.179
567811,10 Lives,"[16, 35, 10751, 14]",2024,8.0,235.969
616446,Brothers,"[28, 35, 80]",2024,6.032,235.428
718821,Twisters,"[53, 28]",2024,6.932,234.986
1079091,It Ends with Us,"[10749, 18]",2024,7.3,233.961
1094974,Take Cover,"[28, 53]",2024,6.9,230.293
1354627,SpongeBob Squarepants: Kreepaway Kamp,"[10770, 10751, 35, 27, 16]",2024,7.0,229.117
1151949,The Shadow Strays,"[28, 80, 53]",2024,7.4,224.251
588555,My Grandfather's Demons,"[16, 18, 14]",2022,6.1,222.554
1079091,It Ends with Us,"[10749, 18]",2024,7.3,233.961
1147710,Hijack 1971,"[28, 53, 80]",2024,6.3,209.591
1094974,Take Cover,"[28, 53]",2024,6.9,230.293
1149913,TOGEFILM - Mei Mei,"[18, 10749]",2023,10.0,257.346
1145491,Operation Black Ops,"[28, 53]",2023,5.55,203.496
173705,Female Teacher: In Front of the Students,"[18, 9648, 27]",1982,6.6,200.03
287903,Krampus,"[27, 35, 14]",2015,6.2,186.732
814889,Never Let Go,"[27, 18]",2024,6.3,199.619
216015,Fifty Shades of Grey,"[18, 10749, 53]",2015,5.884,216.775
787699,Wonka,"[35, 10751, 14]",2023,7.1,314.608
588555,My Grandfather's Demons,"[16, 18, 14]",2022,6.1,222.554
