movie_id,title,genres,release_year,rating,popularity
1079244,Bonhoeffer: Pastor. Spy. Assassin.,Drama|History|War,2024,6.2,18.79
27584,High School,Comedy,2010,5.7,15.442
734265,Love Hard,Comedy|Romance,2021,6.957,18.626
11069,Tremors 2: Aftershocks,Action|Horror|Comedy,1996,6.2,28.86
10027,Unleashed,Action|Crime,2005,6.927,18.361
969686,4 Horsemen: Apocalypse,Science Fiction|Horror,2022,6.031,21.378
10868,The Accused,Crime|Drama,1988,7.021,23.108
440472,The Upside,Comedy|Drama,2019,7.156,24.364
4255,The Party at Kitty and Stud's,Comedy|Drama,1970,3.8,20.956
10025,Just My Luck,Comedy|Drama|Family|Fantasy|Romance,2006,6.1,21.856
586863,Les Misérables,Crime|Drama|Thriller,2019,7.591,35.98
698,Moonraker,Action|Adventure|Thriller|Science Fiction,1979,6.161,25.105
683340,Vengeance,Comedy|Mystery|Thriller,2022,6.6,35.974
934194,Slash/Back,Science Fiction|Action|Thriller|Horror,2022,6.4,24.845
302429,Strange Magic,Music|Animation|Family|Fantasy,2015,7.1,19.858
1103825,War of the Worlds: The Attack,Science Fiction|Mystery|Thriller,2023,5.1,25.135
522924,The Art of Racing in the Rain,Drama|Romance,2019,8.188,29.862
9546,Ricochet,Crime|Thriller|Action|Drama,1991,6.1,19.853
1033774,Wish of the Fairy Fish,Fantasy|Adventure|Family|Drama,2023,8.1,35.958
1358280,Taboo: Family Secrets,Romance|Drama|Thriller,2024,2.0,26.272
795109,Catherine Called Birdy,Adventure|Comedy,2022,6.1,24.874
36801,Cemetery Junction,Drama|Comedy,2010,6.5,15.397
353616,Pitch Perfect 3,Comedy|Music,2017,6.5,23.605
115724,Do You Know Me,Crime|Mystery|Thriller,2009,4.8,15.394
62764,Mirror Mirror,Adventure|Comedy|Family|Fantasy,2012,5.9,22.601
575,The Experiment,Drama|Thriller,2001,7.4,27.099
381518,Mindhorn,Comedy,2016,6.083,24.352
2055,Open Range,Western,2003,7.22,18.597
35936,Sarafina!,Music|Drama|Family,1992,6.1,15.382
570503,Tune in for Love,Romance|Drama,2019,7.8,23.354
879,Hook,Adventure|Fantasy|Comedy|Family,1991,6.8,34.593
166666,3096 Days,Drama,2013,7.4,22.346
1645,A Time to Kill,Crime|Drama|Thriller,1996,7.4,21.343
102362,Dead Man Down,Thriller|Action|Crime|Drama,2013,6.157,19.846
48515,Japanese Summer: Double Suicide,Crime|Drama,1967,5.6,20.103
280217,The Lego Movie 2: The Second Part,Action|Adventure|Animation|Comedy|Family,2019,6.682,21.6
180564,Adventures of Tarzan,Adventure,1985,3.0,27.37
10632,The Hunted,Drama|Action|Thriller|Crime,2003,6.181,19.591
1387071,The Mafia's Obsession,Action|Romance,2024,0.0,30.315
628866,The Return,Horror|Science Fiction,2020,6.8,15.358
12100,Windtalkers,War|Drama|Action|History,2002,6.3,20.84
10157,Police Academy 2: Their First Assignment,Comedy|Crime,1985,6.073,21.088
289728,Jingle All the Way 2,Family|Comedy,2014,5.379,22.592
167032,Curse of Chucky,Horror|Thriller,2013,5.9,26.59
202575,The House of Magic,Family|Fantasy|Animation|Adventure,2013,6.3,15.347
11046,Where Eagles Dare,Action|Adventure|War,1968,7.5,23.592
7305,Alive,Adventure|Drama|History,1993,6.883,23.589
127372,Emperor,Drama|History|War,2012,6.091,23.586
192,The Name of the Rose,Drama|Thriller|Mystery,1986,7.485,23.584
296098,Bridge of Spies,Thriller|Drama,2015,7.235,23.582
2567,The Aviator,Drama,2004,7.225,23.577
1231828,The Witch. Revenge,Horror|Fantasy|War|Drama,2024,6.357,23.576
12113,Body of Lies,Action|Drama|Thriller,2008,6.6,23.575
241,Natural Born Killers,Crime|Thriller|Drama,1994,7.1,23.568
866463,Reptile,Crime|Mystery|Thriller,2023,6.699,23.567
34016,She's Out of My League,Romance|Comedy,2010,6.5,23.567
948713,The Last Kingdom: Seven Kings Must Die,Action|Adventure|War,2023,7.3,23.563
892222,Stepdad and Mother-Daughter,Romance,2021,6.0,23.56
39145,Dragon Ball: Sleeping Princess in Devil's Castle,Action|Animation|Fantasy|Horror,1987,6.6,23.558
369885,Allied,Action|Drama|War|Romance|Thriller,2016,6.792,23.55
79777,In the Land of Blood and Honey,Drama|Romance|War,2011,5.815,23.549
13765,Scrooge,Fantasy|Drama|Family,1970,6.9,23.548
938030,Elf Me,Family|Comedy|Fantasy|Adventure,2023,5.772,23.545
221731,Rurouni Kenshin Part II: Kyoto Inferno,Action|Adventure|Drama|Fantasy,2014,7.607,23.543
437068,A Taxi Driver,Action|Drama|History,2017,8.1,23.54
12208,Casino Royale,Adventure|Action|Comedy,1967,5.3,23.54
11797,Fright Night,Comedy|Horror,1985,7.0,23.539
10398,Double Jeopardy,Drama|Thriller|Mystery,1999,6.6,23.539
1196741,Attack: Part 2,,,0.0,23.537
848932,Why Women Cheat,Romance,2021,2.8,23.531
356298,Don't Think Twice,Comedy|Drama,2016,6.4,23.528
790462,I.S.S.,Science Fiction|Thriller,2024,5.843,23.527
1370580,Music Box: Yacht Rock: A DOCKumentary,Documentary|Music,2024,7.2,23.526
975902,Boudica,Action|War,2023,5.9,23.524
7484,Open Season,Animation|Family|Adventure|Comedy,2006,6.2,23.524
201088,Blackhat,Crime|Thriller|Action,2015,5.487,23.523
649,Belle de Jour,Drama|Romance,1967,7.364,23.522
48624,Urotsukidōji: Legend of the Overfiend,Animation|Action|Horror|Fantasy,1989,6.0,23.521
1251,Letters from Iwo Jima,Action|Drama|War,2006,7.5,23.514
9614,Happy Gilmore,Comedy,1996,6.642,23.513
346470,Nineteen: Shh! No Imagining!,Drama|Romance|Comedy,2015,5.0,23.503
119892,The Monkey King,Action|Adventure|Family|Fantasy,2014,5.6,23.495
1382632,Potatoface,Thriller|Horror,2024,0.0,23.494
34647,Enter the Void,Fantasy|Drama,2009,7.333,23.491
20539,The Crucible,Drama|History,1996,6.6,23.479
14620,The Butterfly Effect 2,Drama|Science Fiction|Thriller,2006,4.9,23.478
653349,Vacation Friends,Comedy,2021,7.092,23.475
51540,Horrible Bosses,Comedy|Crime,2011,6.573,23.467
399170,Logan Lucky,Comedy|Crime,2017,6.7,23.465
9870,Forgetting Sarah Marshall,Comedy|Romance|Drama,2008,6.5,23.46
35052,Cracks,Drama|Mystery|Thriller,2009,6.7,23.456
1268663,New Town Mothers,Romance,2024,0.0,23.455
1700,Misery,Drama|Thriller,1990,7.8,23.452
1858,Transformers,Adventure|Science Fiction|Action,2007,6.8,23.45
71880,Jack and Jill,Comedy|Family,2011,4.372,23.449
13027,Eagle Eye,Mystery|Thriller|Action,2008,6.5,23.449
24740,The Entity,Horror|Mystery|Thriller,1982,6.647,23.448
80585,Rock of Ages,Comedy|Drama|Romance,2012,6.2,23.447
21032,Balto,Family|Animation|Adventure,1995,7.302,23.446
108,Three Colors: Blue,Drama,1993,7.659,23.445
199,Star Trek: First Contact,Science Fiction|Action|Adventure|Thriller,1996,7.288,23.441
428449,A Ghost Story,Drama|Fantasy,2017,7.101,23.44
10141,Dirty Rotten Scoundrels,Crime|Comedy,1988,7.1,23.44
83091,Saint Seiya: The Heated Battle of the Gods,Action|Animation|Fantasy,1988,7.5,23.439
38356,Transformers: Dark of the Moon,Action|Science Fiction|Adventure,2011,6.2,23.438
1690,Hostel,Horror,2005,6.0,23.435
567608,Last Moment of Clarity,Drama|Mystery|Thriller,2020,5.212,23.426
67395,L.E.T.H.A.L. Ladies: Return to Savage Beach,Action|Thriller,1998,6.125,23.417
316154,The Bad Batch,Drama|Horror|Science Fiction,2017,5.266,23.414
